Time,Displacement,Force
0,0.17148,-0.1543
0.1,0.17796,0.03946
0.2,0.18787,0.14105
0.3,0.19661,-0.05944
0.4,0.20507,0.06437
0.5,0.21332,0.0282
0.6,0.22136,0.23705
0.7,0.22977,-0.05161
0.8,0.23834,0.09705
0.9,0.2468,-0.04918
1,0.25511,-0.12182
1.1,0.2632,0.0895
1.2,0.27134,0.07266
1.3,0.27991,-0.03765
1.4,0.28838,0.12967
1.5,0.29679,-0.02499
1.6,0.30498,-0.13095
1.7,0.31302,0.2116
1.8,0.32143,0.15593
1.9,0.33,0.10633
2,0.33841,0.22537
2.1,0.34677,-0.01528
2.2,0.3548,0.00693
2.3,0.36305,0.18854
2.4,0.37157,-0.06649
2.5,0.38004,0.05054
2.6,0.38845,0.02279
2.7,0.39664,0.15527
2.8,0.40468,0.19414
2.9,0.41314,-0.05215
3,0.42166,0.03912
3.1,0.43007,0.18153
3.2,0.43832,0.07101
3.3,0.44641,-0.02538
3.4,0.45471,0.00777
3.5,0.46329,0.16271
3.6,0.47175,0.12568
3.7,0.48011,0.0081
3.8,0.48825,-0.13786
3.9,0.49639,0.14144
4,0.50486,0.01233
4.1,0.51332,0.08893
4.2,0.52179,-0.00135
4.3,0.53009,0.01643
4.4,0.53807,0.02872
4.5,0.54637,0.04622
4.6,0.55495,0.08492
4.7,0.56336,0.17317
4.8,0.57177,0.07283
4.9,0.57991,0.01275
5,0.58805,0.42566
5.1,0.59652,0.39471
5.2,0.60504,0.38762
5.3,0.6135,0.44456
5.4,0.62175,0.42972
5.5,0.62979,0.63567
5.6,0.63809,0.9243
5.7,0.64666,0.80461
5.8,0.65507,0.90635
5.9,0.66343,1.04648
6,0.67146,1.0934
6.1,0.67971,1.35457
6.2,0.68823,1.24073
6.3,0.6967,1.41879
6.4,0.70511,1.47627
6.5,0.71336,1.54376
6.6,0.72139,1.46223
6.7,0.7298,1.75779
6.8,0.73832,1.66618
6.9,0.74679,1.86756
7,0.75509,1.913
7.1,0.76318,1.90119
7.2,0.77137,2.06995
7.3,0.77989,1.96943
7.4,0.78836,2.18541
7.5,0.79677,2.34633
7.6,0.80496,2.17874
7.7,0.813,2.5195
7.8,0.82141,2.62327
7.9,0.82998,2.39022
8,0.83839,2.67197
8.1,0.84675,2.79073
8.2,0.85479,2.84264
8.3,0.86304,2.92917
8.4,0.87161,3.04822
8.5,0.88007,3.2098
8.6,0.88848,3.04759
8.7,0.89662,3.03638
8.8,0.90471,3.12515
8.9,0.91318,3.35213
9,0.92164,3.48211
9.1,0.93011,3.56678
9.2,0.93841,3.51669
9.3,0.94645,3.66265
9.4,0.95475,3.91756
9.5,0.96327,3.76077
9.6,0.97168,4.11535
9.7,0.98009,4.01064
9.8,0.98829,4.25243
9.9,0.99637,4.28857
10,1.00484,4.30713
10.1,1.01336,4.31251
10.2,1.02177,4.41712
10.3,1.03002,4.31246
10.4,1.03805,4.56037
10.5,1.04641,4.63748
10.6,1.05498,4.74277
10.7,1.06345,4.8715
10.8,1.07175,4.91856
10.9,1.07984,5.18575
11,1.08804,4.90486
11.1,1.09655,5.11944
11.2,1.10502,5.23963
11.3,1.11343,5.20995
11.4,1.12173,5.34042
11.5,1.12977,5.35285
11.6,1.13812,5.60401
11.7,1.14664,5.51103
11.8,1.15511,5.66048
11.9,1.16341,5.78059
12,1.17155,5.86562
12.1,1.1797,5.84359
12.2,1.18821,5.97107
12.3,1.19673,6.12206
12.4,1.20509,6.08208
12.5,1.21334,6.21734
12.6,1.22143,6.43933
12.7,1.22979,6.36734
12.8,1.2383,6.46516
12.9,1.24677,6.60881
13,1.25513,6.56698
13.1,1.26316,6.69686
13.2,1.27141,6.64881
13.3,1.27993,6.72249
13.4,1.28839,6.9347
13.5,1.29675,6.66674
13.6,1.30495,6.85062
13.7,1.31304,6.85037
13.8,1.32145,7.00546
13.9,1.33002,6.92834
14,1.33843,6.99484
14.1,1.34668,7.05091
14.2,1.35482,7.11496
14.3,1.36307,7.21383
14.4,1.37164,7.35063
14.5,1.38011,7.51231
14.6,1.38846,7.33778
14.7,1.39661,7.31892
14.8,1.4047,7.24397
14.9,1.41316,7.35537
15,1.42168,7.60873
15.1,1.43009,7.53318
15.2,1.43839,7.62821
15.3,1.44648,7.46436
15.4,1.45468,7.62021
15.5,1.4633,7.54552
15.6,1.47171,7.50517
15.7,1.48012,7.61967
15.8,1.48827,7.55959
15.9,1.49641,7.72367
16,1.50488,7.64326
16.1,1.51339,7.6754
16.2,1.52175,7.98675
16.3,1.53005,7.98067
16.4,1.53809,7.84839
16.5,1.54639,8.14116
16.6,1.55496,8.10348
16.7,1.56337,8.02612
16.8,1.57173,8.19859
16.9,1.57993,8.1217
17,1.58807,8.18565
17.1,1.59654,8.17062
17.2,1.60505,8.08801
17.3,1.61341,8.2296
17.4,1.62171,8.36613
17.5,1.62975,8.13372
17.6,1.63811,8.15883
17.7,1.64663,8.19086
17.8,1.65509,8.30301
17.9,1.66339,8.4389
18,1.67154,8.37418
18.1,1.67968,8.57967
18.2,1.6882,8.34989
18.3,1.69671,8.60719
