Time,Displacement,Force
0,0,0.01271
0.1,0.00637,-0.13626
0.2,0.01623,0.0139
0.3,0.02502,0.08552
0.4,0.03359,-0.12339
0.5,0.042,0.04706
0.6,0.05025,0.04725
0.7,0.05829,-0.07283
0.8,0.06664,0.03274
0.9,0.07516,0.10801
1,0.08362,0.0792
1.1,0.09198,0.05251
1.2,0.10007,-0.11739
1.3,0.10827,-0.01435
1.4,0.11673,0.20619
1.5,0.12525,-0.03394
1.6,0.13366,-0.10484
1.7,0.14191,0.14938
1.8,0.15,-0.10273
1.9,0.15836,0.01961
2,0.16687,-0.10442
2.1,0.17529,-0.09149
2.2,0.18364,0.14892
2.3,0.19173,-0.11291
2.4,0.19993,0.02955
2.5,0.2085,0.00427
2.6,0.21691,0.01043
2.7,0.22527,-0.02748
2.8,0.23352,0.00903
2.9,0.24161,-0.00192
3,0.25002,-0.00376
3.1,0.25854,-0.0039
3.2,0.26695,-0.052
3.3,0.27525,0.01119
3.4,0.28339,-0.12202
3.5,0.29164,-0.09217
3.6,0.30016,0.03895
3.7,0.30862,-0.04056
3.8,0.31698,-0.02962
3.9,0.32518,0.03122
4,0.33327,-0.05289
4.1,0.34173,0.24398
4.2,0.3502,-0.06047
4.3,0.35861,0.10216
4.4,0.36691,0.11273
4.5,0.375,0.06586
4.6,0.38325,0.00082
4.7,0.39182,0.06353
4.8,0.40029,0.01437
4.9,0.40864,0.03719
5,0.41684,0.01395
5.1,0.42498,-0.10492
5.2,0.43339,0.01819
5.3,0.44191,-0.12533
5.4,0.45032,-0.14125
5.5,0.45857,0.09791
5.6,0.46661,0.03257
5.7,0.47496,-0.13079
5.8,0.48354,0.00803
5.9,0.49195,0.02456
6,0.5003,0.00614
6.1,0.5085,-0.05835
6.2,0.51664,-0.03573
6.3,0.52511,-0.06861
6.4,0.53357,-0.03498
6.5,0.54198,-0.04124
6.6,0.55029,0.04907
6.7,0.55832,0.15001
6.8,0.56668,-0.12962
6.9,0.5752,-0.05715
7,0.58361,0.01657
7.1,0.59196,0.12599
7.2,0.60005,0.17429
7.3,0.60825,0.23963
7.4,0.61677,0.37909
7.5,0.62523,0.59794
7.6,0.63364,0.64413
7.7,0.64189,1.04132
7.8,0.64993,1.04301
7.9,0.65834,1.23011
8,0.66691,1.50309
8.1,0.67532,1.66543
8.2,0.68362,1.79303
8.3,0.69171,2.14653
8.4,0.69991,2.38655
8.5,0.70848,2.55226
8.6,0.71695,2.59426
8.7,0.7253,2.81722
8.8,0.73355,3.32766
8.9,0.74159,3.4793
9,0.75,3.55699
9.1,0.75852,3.86053
9.2,0.76698,3.98344
9.3,0.77529,4.20987
9.4,0.78338,4.4484
9.5,0.79163,4.59533
9.6,0.8002,4.86447
9.7,0.80861,5.19664
9.8,0.81696,5.27621
9.9,0.82521,5.48573
10,0.8333,5.70109
10.1,0.84171,5.80403
10.2,0.85023,6.1143
10.3,0.85859,6.2254
10.4,0.86689,6.38686
10.5,0.87498,6.79756
10.6,0.88329,6.86669
10.7,0.89186,7.08511
10.8,0.90027,7.17698
10.9,0.90868,7.27044
11,0.91682,7.23395
11.1,0.92496,7.4139
11.2,0.93343,7.28307
11.3,0.94189,7.28807
11.4,0.9503,7.25462
11.5,0.95861,7.34423
11.6,0.96664,7.194
11.7,0.97495,7.22239
11.8,0.98352,7.26697
11.9,0.99193,7.38695
12,1.00034,7.12085
12.1,1.00848,7.03461
12.2,1.01662,7.45604
12.3,1.02509,7.49135
12.4,1.03355,7.8664
12.5,1.04202,7.94573
12.6,1.05027,7.92893
12.7,1.0583,8.04178
12.8,1.06666,8.02633
12.9,1.07518,8.09664
13,1.08359,7.95084
13.1,1.092,8.13827
13.2,1.10004,7.80682
13.3,1.10823,8.09605
13.4,1.1168,7.86618
13.5,1.12527,7.82384
13.6,1.13363,7.84496
13.7,1.14188,7.99526
13.8,1.14996,7.99107
13.9,1.15832,7.86802
14,1.16689,8.0571
14.1,1.1753,8.02176
14.2,1.18366,8.05955
14.3,1.19175,8.24697
14.4,1.19995,8.57901
14.5,1.20846,8.59877
14.6,1.21693,8.84082
14.7,1.22534,9.28074
14.8,1.23354,9.45889
14.9,1.24157,9.35387
15,1.25004,9.7806
15.1,1.25855,9.99133
15.2,1.26696,10.27227
15.3,1.27532,10.4292
15.4,1.28336,10.81804
15.5,1.29161,10.74351
15.6,1.30018,11.14849
15.7,1.30864,11.30233
15.8,1.317,11.519
15.9,1.32514,11.76943
16,1.33329,12.04977
16.1,1.3417,12.22047
16.2,1.35016,12.38136
16.3,1.35863,12.51412
16.4,1.36693,12.74352
16.5,1.37502,13.05907
16.6,1.38327,13.20664
16.7,1.39184,13.53081
16.8,1.4003,13.7367
16.9,1.40866,13.92273
17,1.41686,14.06676
17.1,1.42495,14.38623
17.2,1.43341,14.4854
17.3,1.44193,15.00463
17.4,1.45034,15.11794
17.5,1.45859,15.37305
17.6,1.46662,15.67884
17.7,1.47493,15.60855
17.8,1.4835,16.1145
17.9,1.49191,16.33775
18,1.50032,16.50345
18.1,1.50841,16.60297
18.2,1.51655,16.90819
18.3,1.52507,17.22936
18.4,1.53359,17.43973
18.5,1.542,17.58018
18.6,1.5503,17.90873
18.7,1.55829,18.2021
18.8,1.56664,18.32784
18.9,1.57521,18.55848
19,1.58362,19.03673
19.1,1.59198,19.10004
19.2,1.60007,19.21047
19.3,1.60827,19.65893
19.4,1.61673,19.96801
19.5,1.62525,20.12881
19.6,1.63366,20.37887
19.7,1.64191,20.55973
19.8,1.64995,20.74793
19.9,1.65836,21.05384
20,1.66687,21.31668
20.1,1.67529,21.36482
20.2,1.68364,21.8276
20.3,1.69179,22.01891
20.4,1.69993,22.34105
20.5,1.70845,22.40319
20.6,1.71696,22.79776
20.7,1.72527,23.1169
20.8,1.73352,23.24988
20.9,1.74161,23.50466
21,1.75002,23.69085
21.1,1.75859,23.89803
21.2,1.76695,24.3162
21.3,1.7753,24.42423
21.4,1.78339,24.69385
21.5,1.79159,25.20048
21.6,1.80016,25.2567
21.7,1.80857,25.50529
21.8,1.81698,25.73951
21.9,1.82518,25.88329
22,1.83321,26.29384
22.1,1.84168,26.49702
22.2,1.85025,26.7829
22.3,1.85866,27.03778
22.4,1.86696,27.20835
22.5,1.875,27.33636
22.6,1.88325,27.68876
22.7,1.89182,27.9448
22.8,1.90034,28.35234
22.9,1.9087,28.64756
23,1.91684,28.72866
23.1,1.92493,29.00559
23.2,1.93339,29.29664
23.3,1.94196,29.47174
23.4,1.95032,29.68825
23.5,1.95857,29.98627
23.6,1.96661,30.20557
23.7,1.97496,30.54544
23.8,1.98354,30.75998
23.9,1.99195,31.01918
24,2.0003,31.10071
24.1,2.00845,31.3795
24.2,2.01664,31.85884
24.3,2.02511,31.88217
24.4,2.03357,32.24127
24.5,2.04198,32.63949
24.6,2.05023,32.63208
24.7,2.05832,33.11272
24.8,2.06663,33.25156
24.9,2.0752,33.49569
25,2.08366,33.7125
25.1,2.09196,33.91533
25.2,2.10005,34.16393
25.3,2.10825,34.56027
25.4,2.11677,34.55692
25.5,2.12523,34.91717
25.6,2.13364,35.26756
25.7,2.14189,35.16544
25.8,2.14993,35.53068
25.9,2.15834,35.91061
26,2.16691,36.31686
26.1,2.17532,36.28563
26.2,2.18362,36.75069
26.3,2.19171,36.97672
26.4,2.19991,37.34652
26.5,2.20843,37.36753
26.6,2.21695,37.63087
26.7,2.2253,37.97738
26.8,2.23355,38.28199
26.9,2.24159,38.29192
27,2.25,38.54123
27.1,2.25852,38.83391
27.2,2.26698,39.1191
27.3,2.27534,39.29181
27.4,2.28338,39.63339
27.5,2.29163,39.73508
27.6,2.3002,40.10217
27.7,2.30861,40.48553
27.8,2.31696,40.50896
27.9,2.32521,40.86497
28,2.33325,40.95208
28.1,2.34171,41.2984
28.2,2.35023,41.53277
28.3,2.35864,41.8275
28.4,2.36689,41.93265
28.5,2.37498,42.22502
28.6,2.38329,42.324
28.7,2.39186,42.71265
28.8,2.40032,43.09903
28.9,2.40868,43.31393
29,2.41677,43.5598
29.1,2.42496,43.72387
29.2,2.43343,43.86058
29.3,2.44189,44.28727
29.4,2.4503,44.39377
29.5,2.45861,44.72448
29.6,2.46664,44.70774
29.7,2.47495,45.17426
29.8,2.48352,45.38126
29.9,2.49193,45.55059
30,2.50034,45.89196
30.1,2.50843,46.07265
30.2,2.51657,46.32852
30.3,2.52509,46.37202
30.4,2.53361,46.89993
30.5,2.54202,47.13957
30.6,2.55027,47.01519
30.7,2.5583,47.4345
30.8,2.56666,47.83947
30.9,2.57518,48.14012
31,2.58364,48.2535
31.1,2.59195,48.4437
31.2,2.60004,48.86936
31.3,2.60823,48.83031
31.4,2.6168,49.3643
31.5,2.62527,49.49541
31.6,2.63362,49.61801
31.7,2.64193,50.0246
31.8,2.64996,50.1619
31.9,2.65832,50.45637
32,2.66689,50.73177
32.1,2.6753,50.89321
32.2,2.68361,51.25916
32.3,2.69175,51.59886
32.4,2.69995,51.54449
32.5,2.70846,51.80842
32.6,2.71693,52.17347
32.7,2.72529,52.24761
32.8,2.73354,52.69006
32.9,2.74157,52.82454
33,2.75004,53.0317
33.1,2.75855,53.29475
33.2,2.76696,53.56007
33.3,2.77527,53.6409
33.4,2.78336,53.94192
33.5,2.79161,54.22184
33.6,2.80018,54.36692
33.7,2.80864,54.58509
33.8,2.817,54.80014
33.9,2.82514,54.8973
34,2.83329,55.25048
34.1,2.8417,55.75679
34.2,2.85016,55.88653
34.3,2.85862,55.97482
34.4,2.86693,56.19712
34.5,2.87502,56.43711
34.6,2.88327,56.58839
34.7,2.89184,56.89757
34.8,2.9003,57.1585
34.9,2.90866,57.42661
35,2.91686,57.72034
35.1,2.92495,57.94035
35.2,2.93341,57.95321
35.3,2.94193,58.35267
35.4,2.95029,58.44193
35.5,2.95854,58.74217
35.6,2.96668,58.99247
35.7,2.97493,59.039
35.8,2.9835,59.37384
35.9,2.99196,59.59482
36,3.00032,59.79336
36.1,3.00841,60.02562
36.2,3.01655,60.21489
36.3,3.02512,60.41396
36.4,3.03364,60.72314
36.5,3.042,60.86219
36.6,3.05025,61.04958
36.7,3.05829,61.18425
36.8,3.0667,61.4868
36.9,3.07516,61.65933
37,3.08362,61.76683
37.1,3.09198,62.04329
37.2,3.10012,62.15439
37.3,3.10821,62.52745
37.4,3.11673,62.88567
37.5,3.12525,62.76406
37.6,3.13361,62.909
37.7,3.14191,63.17115
37.8,3.15,63.29013
37.9,3.15836,63.4998
38,3.16688,63.7471
38.1,3.17529,63.9362
38.2,3.18364,64.02319
38.3,3.19173,64.2034
38.4,3.19993,64.5747
38.5,3.20845,64.66028
38.6,3.21691,64.73519
38.7,3.22527,65.07928
38.8,3.23352,65.09198
38.9,3.24161,65.13
39,3.25002,65.49134
39.1,3.25854,65.58513
39.2,3.26695,65.67319
39.3,3.27525,65.76242
39.4,3.28339,66.14664
39.5,3.29164,66.174
39.6,3.30016,66.29615
39.7,3.30862,66.39421
39.8,3.31698,66.69926
39.9,3.32518,66.83871
40,3.33327,66.82461
40.1,3.34173,67.06905
40.2,3.35025,67.16982
40.3,3.35861,67.43848
40.4,3.36696,67.42449
40.5,3.375,67.57795
40.6,3.38325,67.69929
40.7,3.39187,67.84196
40.8,3.40029,67.99142
40.9,3.4087,68.01516
41,3.41684,68.16669
41.1,3.42493,68.55153
41.2,3.43339,68.47877
41.3,3.44191,68.75318
41.4,3.45032,68.68807
41.5,3.45857,68.72389
41.6,3.46661,68.93202
41.7,3.47496,69.09064
41.8,3.48348,69.24276
41.9,3.49189,69.26314
42,3.5003,69.54114
42.1,3.50845,69.65257
42.2,3.51659,69.5841
42.3,3.52511,69.82185
42.4,3.53357,69.98065
42.5,3.54198,70.00461
42.6,3.55029,70.091
42.7,3.55832,70.09748
42.8,3.56668,70.37991
42.9,3.5752,70.50889
43,3.58366,70.49588
43.1,3.59196,70.64801
43.2,3.60005,70.61489
43.3,3.60825,70.81277
43.4,3.61677,71.07585
43.5,3.62529,71.09774
43.6,3.63364,71.19965
43.7,3.64189,71.20329
43.8,3.64993,71.24471
43.9,3.65834,71.26564
44,3.66691,71.61568
44.1,3.67532,71.59151
44.2,3.68362,71.51596
44.3,3.69177,71.648
44.4,3.69991,71.70913
44.5,3.70843,72.15125
44.6,3.71689,72.04778
44.7,3.7253,72.12271
44.8,3.73355,72.20713
44.9,3.74159,72.36543
45,3.75,72.46096
45.1,3.75852,72.41801
45.2,3.76698,72.51128
45.3,3.77529,72.59514
45.4,3.78337,72.80557
45.5,3.79163,72.65264
45.6,3.80014,72.92825
45.7,3.80861,72.94472
45.8,3.81696,73.09435
45.9,3.82521,73.20813
46,3.8333,73.19795
46.1,3.84171,73.28474
46.2,3.85018,73.4226
46.3,3.85864,73.26205
46.4,3.86689,73.37955
46.5,3.87498,73.32644
46.6,3.88329,73.55917
46.7,3.89186,73.66796
46.8,3.90027,73.77442
46.9,3.90868,73.79677
47,3.91682,73.86508
47.1,3.92496,73.96963
47.2,3.93343,74.11443
47.3,3.94189,74.17653
47.4,3.9503,74.26109
