Time,Displacement,Force
0,-1.19587,-0.05009
0.1,-1.18987,0.21324
0.2,-1.17948,-0.07763
0.3,-1.1707,0.24174
0.4,-1.16223,0.26579
0.5,-1.15393,0.15065
0.6,-1.14589,-0.05959
0.7,-1.13754,0.05971
0.8,-1.12896,0.00807
0.9,-1.1205,0.04397
1,-1.11225,0.10436
1.1,-1.10411,0.0643
1.2,-1.09591,0.15373
1.3,-1.08739,0.03817
1.4,-1.07887,0.0667
1.5,-1.07052,0.12334
1.6,-1.06232,0.06683
1.7,-1.05423,0.076
1.8,-1.04582,-0.02542
1.9,-1.03725,0.20752
2,-1.02884,0.07723
2.1,-1.02048,0.07383
2.2,-1.01245,0.32168
2.3,-1.0042,0.3746
2.4,-0.99568,0.3178
2.5,-0.98721,0.31455
2.6,-0.97886,0.57806
2.7,-0.97066,0.58003
2.8,-0.96257,0.24652
2.9,-0.95416,0.52749
3,-0.94564,0.58808
3.1,-0.93723,0.61485
3.2,-0.92887,0.88849
3.3,-0.92084,0.78061
3.4,-0.91259,0.83554
3.5,-0.90402,0.93493
3.6,-0.89555,1.14651
3.7,-0.88714,1.18453
3.8,-0.879,1.19243
3.9,-0.87091,1.52261
4,-0.86245,1.32761
4.1,-0.85398,1.47346
4.2,-0.84557,1.36305
4.3,-0.83721,1.67468
4.4,-0.82923,1.58011
4.5,-0.82087,1.65033
4.6,-0.8123,1.8375
4.7,-0.80389,1.83005
4.8,-0.79554,1.88715
4.9,-0.78734,2.13692
5,-0.7792,2.01112
5.1,-0.77073,2.14383
5.2,-0.76227,2.17659
5.3,-0.75386,2.21296
5.4,-0.74561,2.4218
5.5,-0.73752,2.33159
5.6,-0.72921,2.62085
5.7,-0.72064,2.54154
5.8,-0.71223,2.58056
5.9,-0.70387,2.49698
6,-0.69573,2.83073
6.1,-0.68759,2.86871
6.2,-0.67907,2.92621
6.3,-0.67061,2.86381
6.4,-0.6622,3.109
6.5,-0.65395,3.02696
6.6,-0.64586,2.97868
6.7,-0.6375,3.15117
6.8,-0.62898,3.33043
6.9,-0.62052,3.28974
